sex,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
male,72.47,72.77,72.99,73.29,73.62,74.04,74.44,74.78,75.11,75.38,75.59,75.89,76.21,76.64,76.89,77.17,77.33,77.51,77.72,77.72,77.9,78.13,78.18,78.31,78.36,78.48,78.63,78.64,78.54,78.33,78.17
female,79.01,79.3,79.49,79.72,79.98,80.27,80.57,80.82,81.07,81.22,81.34,81.55,81.78,82.08,82.25,82.4,82.53,82.59,82.73,82.8,82.88,83.05,83.06,83.2,83.18,83.27,83.36,83.4,83.38,83.18,82.99
